Jogo 001: 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25
Jogo 002: 3, 4, 6, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25
Jogo 003: 3, 4, 6, 7, 8, 10, 14, 15, 17, 19, 20, 21, 22, 23, 25
Jogo 004: 3, 4, 6, 7, 8, 10, 11, 12, 13, 19, 20, 21, 22, 23, 25
Jogo 005: 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 22, 23, 25
Jogo 006: 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21
Jogo 007: 2, 4, 6, 8, 10, 12, 13, 15, 17, 19, 20, 21, 22, 23, 25
Jogo 008: 2, 4, 6, 7, 10, 11, 13, 14, 17, 19, 20, 21, 22, 23, 25
Jogo 009: 2, 4, 6, 7, 8, 11, 12, 14, 15, 19, 20, 21, 22, 23, 25
Jogo 010: 2, 3, 6, 8, 10, 11, 13, 14, 15, 19, 20, 21, 22, 23, 25
Jogo 011: 2, 3, 6, 7, 10, 12, 13, 14, 15, 17, 20, 21, 22, 23, 25
Jogo 012: 2, 3, 6, 7, 8, 11, 12, 13, 15, 17, 19, 21, 22, 23, 25
Jogo 013: 2, 3, 6, 7, 8, 10, 11, 12, 14, 17, 19, 20, 22, 23, 25
Jogo 014: 2, 3, 4, 8, 10, 11, 12, 14, 15, 17, 20, 21, 22, 23, 25
Jogo 015: 2, 3, 4, 7, 10, 11, 12, 13, 15, 17, 19, 20, 22, 23, 25
Jogo 016: 2, 3, 4, 7, 8, 12, 13, 14, 17, 19, 20, 21, 22, 23, 25
Jogo 017: 2, 3, 4, 7, 8, 10, 11, 13, 14, 15, 17, 19, 21, 23, 25
Jogo 018: 2, 3, 4, 6, 8, 10, 11, 12, 13, 14, 17, 19, 21, 22, 25
Jogo 019: 2, 3, 4, 6, 7, 10, 11, 12, 14, 15, 17, 19, 21, 22, 23
Jogo 020: 2, 3, 4, 6, 7, 8, 11, 13, 14, 15, 17, 20, 21, 22, 25
Jogo 021: 2, 3, 4, 6, 7, 8, 10, 12, 13, 14, 15, 19, 20, 23, 25
Jogo 022: 1, 4, 6, 8, 10, 11, 13, 14, 15, 17, 20, 21, 22, 23, 25
Jogo 023: 1, 4, 6, 7, 10, 12, 13, 14, 15, 19, 20, 21, 22, 23, 25
Jogo 024: 1, 4, 6, 7, 8, 11, 12, 13, 15, 17, 19, 20, 22, 23, 25
Jogo 025: 1, 4, 6, 7, 8, 10, 11, 12, 14, 17, 19, 21, 22, 23, 25
Jogo 026: 1, 3, 6, 8, 10, 12, 13, 14, 17, 19, 20, 21, 22, 23, 25
Jogo 027: 1, 3, 6, 7, 10, 11, 13, 15, 17, 19, 20, 21, 22, 23, 25
Jogo 028: 1, 3, 6, 7, 8, 11, 12, 14, 15, 17, 20, 21, 22, 23, 25
Jogo 029: 1, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 19, 21, 23, 25
Jogo 030: 1, 3, 4, 8, 10, 11, 12, 13, 15, 17, 19, 21, 22, 23, 25
Jogo 031: 1, 3, 4, 7, 10, 11, 12, 14, 15, 17, 19, 20, 21, 23, 25
Jogo 032: 1, 3, 4, 7, 8, 11, 13, 14, 15, 19, 20, 21, 22, 23, 25
Jogo 033: 1, 3, 4, 7, 8, 10, 12, 13, 14, 15, 17, 20, 21, 22, 25
Jogo 034: 1, 3, 4, 7, 8, 10, 11, 12, 13, 14, 17, 19, 20, 22, 23
Jogo 035: 1, 3, 4, 6, 8, 10, 11, 12, 14, 15, 19, 20, 22, 23, 25
Jogo 036: 1, 3, 4, 6, 7, 8, 12, 13, 14, 15, 17, 19, 21, 22, 23
Jogo 037: 1, 2, 6, 10, 11, 12, 14, 15, 17, 19, 20, 21, 22, 23, 25
Jogo 038: 1, 2, 6, 7, 8, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25
Jogo 039: 1, 2, 6, 7, 8, 10, 11, 12, 13, 17, 20, 21, 22, 23, 25
Jogo 040: 1, 2, 6, 7, 8, 10, 11, 12, 13, 14, 15, 19, 20, 22, 25
Jogo 041: 1, 2, 4, 8, 11, 12, 13, 14, 15, 17, 19, 20, 21, 23, 25
Jogo 042: 1, 2, 4, 7, 10, 11, 12, 13, 14, 15, 17, 21, 22, 23, 25
Jogo 043: 1, 2, 4, 7, 8, 10, 12, 14, 15, 17, 19, 20, 22, 23, 25
Jogo 044: 1, 2, 4, 7, 8, 10, 11, 13, 15, 17, 19, 20, 21, 22, 25
Jogo 045: 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 19, 20, 21, 22, 23
Jogo 046: 1, 2, 4, 6, 7, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22
Jogo 047: 1, 2, 4, 6, 7, 8, 10, 12, 13, 14, 17, 19, 20, 21, 25
Jogo 048: 1, 2, 4, 6, 7, 8, 10, 11, 14, 15, 17, 19, 20, 21, 23
Jogo 049: 1, 2, 3, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22
Jogo 050: 1, 2, 3, 7, 10, 11, 12, 13, 14, 19, 20, 21, 22, 23, 25
Jogo 051: 1, 2, 3, 7, 8, 10, 12, 13, 15, 17, 19, 20, 21, 23, 25
Jogo 052: 1, 2, 3, 7, 8, 10, 11, 13, 14, 15, 17, 20, 22, 23, 25
Jogo 053: 1, 2, 3, 6, 7, 11, 12, 13, 14, 15, 17, 19, 20, 23, 25
Jogo 054: 1, 2, 3, 6, 7, 8, 10, 12, 14, 15, 19, 20, 21, 22, 23
Jogo 055: 1, 2, 3, 6, 7, 8, 10, 11, 14, 15, 17, 19, 21, 22, 25
